word,auto_cluster
sap,-1
sapient,-1
sarcasm,-1
sartorial,17
sate,57
satiate,57
scandalous,65
satirize,102
saturate,62
saturnine,89
saunter,52
savant,135
savory,143
savvy,176
scads,141
scant,76
scathing,95
schism,-1
scintillate,-1
seditious,105
scission,46
scoff,108
scorch,-1
scorn,151
scotch,-1
scour,-1
scowl,129
scrappy,-1
scrap,79
scrawl,76
scribble,85
scrupulous,173
scrutable,159
scrutinize,13
scuff,-1
scurrilous,97
scurvy,102
seamy,97
secluded,40
secrete,39
sedate,0
sedentary,54
seduce,147
sedulous,13
seemly,121
segment,46
self-abasement,102
self-absorbed,142
seminal,15
sensation,155
sift,13
showmanship,166
sepulchral,89
septic,49
sequela,-1
sequester,46
sere,-1
serendipity,-1
serene,0
sermon,43
serpentine,20
self-defeating,-1
serried,32
servile,4
shifty,83
shackle,148
shadow,-1
sham,98
stale,30
shiftless,-1
shipshape,28
shirk,-1
shoal,-1
shopworn,73
shred,32
shrewd,15
shrink,59
shroud,-1
shrug,80
shun,-1
sidestep,124
signal,-1
simpleton,68
simulate,160
self-perpetuating,69
sensuality,-1
sinecure,-1
sinew,120
singe,-1
sinuous,-1
snag,36
sacrosanct,-1
scourge,-1
skimp,-1
scruple,93
skirt,52
slack,178
slake,57
slant,-1
slate,-1
slew,141
slight,-1
sling,52
slippery,170
slipshod,12
sloppy,178
sloth,-1
slouch,48
slovenly,-1
sluggard,-1
sluggish,48
slumber,6
slur,-1
sly,15
smarmy,-1
skullduggery,-1
smattering,32
smirk,142
smother,-1
smug,142
smuggling,-1
snare,106
snarl,20
sneer,102
snobbish,-1
snub,102
soak,62
sober,-1
sodden,62
solace,100
solder,81
solemnity,-1
solicitous,143
solid,10
soliloquy,69
solitude,72
solvent,-1
somatic,21
somber,89
somnolence,6
slapdash,76
soothe,8
sop,-1
sophism,84
sophisticated,-1
soporific,-1
sordid,178
sound,-1
sparse,-1
spartan,-1
spat,-1
spate,141
sleek,164
specious,-1
speck,32
spectator,17
spectrum,-1
speculate,-1
spendthrift,149
spent,-1
slump,37
spiny,166
spleen,119
splice,81
spontaneous,69
spoof,-1
sporadic,54
sprawl,-1
sprightly,120
spur,140
spurious,91
spurn,151
sanity,45
squalid,97
squall,-1
squander,-1
squat,-1
soft-pedal,59
squelch,114
secede,80
stalwart,156
stamina,153
stammer,44
startle,93
static,-1
stature,176
steadfast,63
stealth,40
steep,158
stench,49
stentorian,113
sterile,178
stickler,12
stiff,178
stifle,-1
stigma,102
stint,-1
stingy,-1
sequel,-1
stipulate,174
stitch,49
stock,1
sectarian,54
stodgy,30
stoke,24
stoic,18
stolid,89
stomach,-1
stonewall,11
stouthearted,117
stratagem,83
sonorous,-1
strand,-1
stratify,46
stray,-1
strenuous,173
striate,-1
stricture,108
soothsayer,13
strident,104
strike,-1
stringent,-1
strip,-1
strut,43
spike,120
stultify,-1
stupor,114
stunt,26
sturdy,120
stygian,-1
stymie,-1
subdue,115
subject,117
subjugate,-1
sublime,153
subliminal,-1
submerge,-1
submissive,-1
subordinate,-1
subservient,-1
subside,-1
subsidiary,-1
subsidy,-1
substantial,162
substantiate,-1
substantive,-1
subterfuge,-1
subtle,70
subvert,20
succinct,159
succor,136
suffocate,128
suffuse,38
sulk,119
sullen,89
secular,-1
summit,87
summon,81
sumptuous,168
sunder,46
supercilious,97
superficial,91
superfluous,158
stagnant,48
supine,78
supple,19
supplant,115
supplement,56
supplicate,57
supposition,-1
suppress,-1
surcharge,57
surfeit,122
surrender,-1
surreptitious,-1
susceptible,-1
suspend,-1
suture,82
svelte,-1
swagger,7
swear,-1
sweltering,113
swerve,37
sterling,-1
swindle,115
sybarite,-1
sycophant,-1
syllabus,64
syllogism,10
symbiosis,82
symmetry,32
synchronous,133
synergic,82
synonymous,133
synopsis,64
synthesis,125
tacit,-1
taciturn,44
tackle,67
tact,-1
tactile,-1
tactless,97
tilt,-1
taint,103
tamper,96
tangent,85
tangible,160
tangy,120
tantalize,154
tantamount,133
tantrum,119
taper,-1
tardy,48
tarnish,103
tasty,143
tatty,-1
taunt,102
taut,54
tawdry,-1
taxing,36
tedious,30
teeter,177
teetotalism,8
telling,157
temerity,-1
temporize,11
temperate,148
tempestuous,-1
tenable,-1
tenacious,21
tendentious,-1
tender,179
tenuous,91
tepid,90
terminology,-1
terminus,64
traumatic,95
terse,63
testimony,34
testy,-1
tether,138
theatrical,-1
therapeutic,45
thorny,36
threadbare,53
throng,141
thwart,150
ticklish,-1
tiff,-1
tightfisted,-1
timeworn,53
timid,78
timorous,93
tinge,161
tinker,-1
truism,-1
tirade,119
toady,152
tonic,120
topsy-turvy,28
torpid,90
torpor,178
torrential,-1
torrid,-1
tortuous,-1
tout,7
toy,76
tractable,-1
tranquility,0
transcend,158
transfigure,-1
transgress,-1
transient,-1
transitory,31
translucent,159
transparent,54
travail,36
traverse,52
travesty,41
treacherous,97
trenchant,15
trepidation,93
trespass,110
tribute,-1
trickle,-1
trite,53
trivial,92
truant,33
truce,114
truculent,-1
trudge,11
trumpet,144
truncate,-1
tremendous,167
tumult,105
turbid,-1
turbulent,105
turgid,-1
turmoil,105
turncoat,-1
turpitude,-1
trope,-1
typo,-1
tyro,-1
ubiquitous,38
unassailable,124
uncanny,146
uncouth,91
unctuous,164
upbeat,139
undergird,24
usher,67
underscore,24
understate,138
undue,158
unexceptionable,158
unflappable,-1
ungainly,29
unimpeachable,-1
unkempt,28
unlettered,71
unpretentious,-1
unflagging,120
unsung,-1
unruly,36
untenable,-1
untold,125
untoward,-1
unwitting,-1
unwonted,146
upbraid,108
uphold,136
urbane,-1
usurp,110
univocal,159
vaccinate,-1
vacillate,-1
vacuous,-1
vagary,-1
vague,178
valediction,80
valiant,109
versed,176
vanquish,-1
vapid,90
vaporize,47
variance,175
variegated,125
varnish,39
valorize,24
vaunt,-1
veer,51
vehement,155
venal,-1
vendor,57
veneer,39
venerate,3
venial,-1
venom,95
veracious,84
verbatim,9
verbose,163
verdant,45
verify,12
verisimilar,-1
vile,49
vernacular,-1
versatile,125
verse,181
vertigo,18
verve,120
venue,-1
vestige,32
vocation,-1
veteran,176
veto,137
vex,105
viable,-1
vicarious,133
vicious,95
vicissitude,23
victimize,83
vigilant,13
vignette,-1
vigorous,120
vilify,-1
vim,61
vindicate,-1
vindictive,-1
virtuoso,176
virtuous,153
virulent,103
viscid,19
viscous,-1
visionary,-1
vitality,120
vitiate,59
vitriolic,102
vituperate,102
vivacious,113
vociferous,-1
volatile,23
volition,142
voluble,43
voluminous,141
voluptuous,143
voracious,123
votary,155
vouch,136
vulgar,97
vulnerable,-1
waddle,51
waffle,44
waft,-1
wag,51
wan,45
warble,120
wane,59
wanting,178
warmonger,-1
warp,22
warrant,118
wary,13
wastrel,126
watershed,-1
wax,25
waylay,-1
welter,105
wheedle,-1
whet,22
winnow,13
whimsical,-1
wholesome,45
wicked,103
wince,-1
windbag,44
windy,44
winsome,-1
wit,176
withdraw,58
wither,128
withhold,137
wizen,-1
wobble,177
worldly,-1
windfall,-1
wrangle,111
wretched,178
wry,-1
xenophobe,93
yoke,82
yokel,-1
zeal,155
zealot,-1
zenith,64
zesty,19
abreast,135
appurtenance,4
acclaim,179
apostle,136
accord,180
accustom,144
acquire,142
acquisitive,-1
adjudicate,-1
adversity,36
affectation,-1
affirm,-1
affix,35
affliction,99
agape,155
agility,23
agonize,100
agreeable,180
alienate,-1
alloy,-1
ambivalent,-1
anachronism,-1
analogous,1
annex,82
annotate,-1
antedate,13
antipathy,88
antiquated,146
antithetical,150
apparition,-1
applicable,169
apprehensive,-1
arable,26
arbitrary,-1
arcane,70
argument,111
arid,178
array,169
assail,108
atrophy,80
attest,145
attune,175
august,-1
auspicious,-1
austere,-1
automatic,-1
avowal,121
backfire,58
backslide,37
baffle,27
bohemian,-1
bash,108
beholden,7
behoove,157
beige,91
bureaucratic,36
belligerent,-1
beset,171
bewitching,130
blackmail,-1
bluff,-1
bogus,160
bore,-1
brandish,93
brim,158
bumble,44
bustle,140
calamity,-1
calculated,12
canny,13
canonize,-1
captious,107
careen,51
carefree,55
cascade,141
cellular,19
ceremonious,13
certitude,-1
channel,51
chaperone,-1
charisma,130
cherished,-1
chivalrous,-1
chorale,7
clamor,113
clan,82
cleave,-1
cling,35
coarse,178
cohesive,-1
commiserate,100
compatible,175
compelling,147
complacent,126
complementary,82
complicate,36
comprehend,106
concrete,9
condemn,-1
conditional,-1
conflagration,-1
conflate,-1
conform,180
conjure,181
consent,179
consign,121
consternation,49
contemplate,13
contempt,68
contend,-1
contradict,-1
contrived,-1
convene,81
correlate,-1
counterpart,133
counterproductive,-1
courteous,-1
coy,-1
credit,179
crow,143
damn,103
dampen,60
dashing,13
dated,-1
deadlock,-1
debonair,-1
decadent,178
decry,-1
deflect,51
defray,57
deign,-1
delegate,169
delineate,-1
demote,50
dependable,-1
deplorable,-1
dichotomy,46
dictate,57
discreet,-1
disenchant,0
dishearten,-1
disjunctive,46
disprove,84
distinctive,-1
doctrinaire,134
domineer,-1
drab,30
dramatic,-1
dread,93
duplicate,133
eclectic,125
efficacious,-1
elude,148
enamored,-1
endeavor,173
enthrall,13
equilibrium,14
escort,-1
ethos,-1
exorcise,79
explicate,-1
exterminate,-1
extrapolate,10
fabulous,179
fad,31
fallible,77
fanciful,69
favoritism,-1
featureless,91
feisty,-1
felony,-1
ferocious,-1
fervent,155
figment,-1
fitful,-1
fleeting,31
forage,-1
forebode,13
foreground,162
forfeit,-1
forsake,116
frosty,178
gawky,74
germinate,-1
glacial,178
glide,23
glower,132
graft,35
grit,95
groggy,74
grudge,-1
grumble,129
halfhearted,89
heckle,-1
hierarchical,19
hobble,138
humdrum,90
humiliate,50
hypothetical,181
idiosyncrasy,146
idle,-1
ill-bred,97
illustrious,-1
imperishable,21
implicit,-1
impunity,0
incentive,-1
incumbent,-1
indecorous,-1
infraction,-1
justify,-1
lag,128
lance,-1
lax,178
license,-1
lionize,152
ludicrous,102
luminous,87
lurid,65
machination,-1
madcap,-1
magnitude,-1
malevolent,104
malignant,95
maneuver,-1
marginal,92
meditate,13
menial,4
meretricious,97
milieu,-1
misapprehension,70
monarch,127
monopolize,-1
nirvana,143
nostalgia,-1
notoriety,-1
nourish,26
novice,-1
nullification,-1
numb,86
oaf,77
observant,172
obsolete,72
onset,67
ordeal,104
ostensible,-1
outgrowth,66
outmoded,72
override,42
overshadow,162
overwhelm,-1
overwrought,-1
palaver,111
palpitation,26
panacea,45
peculiarity,160
pedagogical,-1
peel,-1
perceptive,160
perilous,13
perquisite,133
petulant,-1
pioneer,-1
pious,-1
pitfall,34
pivotal,162
placid,0
playful,101
plebeian,-1
plush,168
poach,62
pointer,13
pragmatic,-1
premeditate,13
prerequisite,-1
prerogative,-1
proclaim,121
project,12
proprietary,121
prototype,-1
rampant,-1
ravenous,123
redeem,24
refreshing,-1
remnant,32
renege,151
replenish,-1
replicate,-1
residual,31
restitution,18
resurrect,58
retentive,-1
retrieve,58
reverberate,-1
rhetorical,-1
rigmarole,44
ruthless,86
screen,148
scrimp,-1
sectarianism,-1
secular,-1
simile,-1
skittish,-1
sparing,13
splutter,44
squeamish,49
staunch,2
stereotype,134
stigmatize,102
substitute,-1
succumb,-1
supersede,-1
surly,-1
surmise,-1
surmount,115
surpass,24
surrogate,133
surveillance,13
tame,148
tangle,-1
teeming,141
temporal,21
tentative,-1
thick-skinned,86
thrill,154
timely,157
trifling,92
tycoon,127
tyrant,-1
umbrage,-1
unanimous,174
unavailing,-1
unremitting,69
vouchsafe,-1
wayward,142
weather,52
willful,-1
willy-nilly,28
wilt,73
wily,83
wiretap,57
wistful,155
wrest,36
wrongheaded,-1
